,log2FoldChange,padj,baseMean,t,P.Value,B
205241_at,0.888101186,0.000342763,8.869137,4.097457811,0.000109898,0.206349343
233678_at,-0.540491657,0.000343635,4.445081143,-4.096685738,0.000110194,0.203768947
211929_at,-0.375568932,0.000343635,11.05978943,-4.096668391,0.000110201,0.203710971
202950_at,-0.703503894,0.000343841,9.612161857,-4.096466701,0.000110278,0.203036942
221578_at,0.672838234,0.000344386,5.138992,4.095982685,0.000110464,0.201419484
210018_x_at,0.983239537,0.00034453,6.071089857,4.095832302,0.000110522,0.200916966
242727_at,0.856373415,0.000345273,4.632250143,4.095184394,0.000110772,0.198752054
202723_s_at,-0.848695761,0.00034589,5.682772286,-4.094642058,0.000110982,0.196940062
213493_at,-0.748706106,0.000347248,2.647338,-4.09348712,0.000111429,0.193081803
240158_at,-0.681911674,0.000347486,3.027281143,-4.093260308,0.000111517,0.192324182
211143_x_at,-0.745500664,0.000347595,5.842782714,-4.09313704,0.000111565,0.191912439
239148_at,0.777418966,0.000347595,5.900066429,4.093110642,0.000111575,0.191824264
213347_x_at,-0.291209504,0.000348559,15.06985857,-4.092274891,0.000111901,0.189032876
216663_s_at,-0.763118284,0.000348559,2.579224857,-4.092256012,0.000111908,0.188969826
220089_at,0.522139689,0.000348833,6.897481571,4.09200027,0.000112008,0.188115725
217874_at,0.424098099,0.000349122,10.61728514,4.0917323,0.000112112,0.187220825
205016_at,1.704165122,0.000350206,4.927763857,4.090812585,0.000112472,0.184149657
219849_at,-0.376035795,0.000350455,2.905349429,-4.090578754,0.000112564,0.1833689
240156_at,-1.110126535,0.000350617,3.391527857,-4.090415811,0.000112627,0.182824856
219709_x_at,-0.677789613,0.000350656,6.961429286,-4.090354299,0.000112652,0.182619478
230098_at,0.903193911,0.000351328,8.204007714,4.089774283,0.000112879,0.180683006
202431_s_at,1.193121396,0.000351838,10.82482514,4.089327245,0.000113055,0.179190616
204577_s_at,-0.762634054,0.00035204,5.032219857,-4.08913245,0.000113132,0.178540344
202358_s_at,-0.555144735,0.000352353,7.828954143,-4.088847352,0.000113244,0.177588654
221003_s_at,-0.452329647,0.000352366,4.521867857,-4.088807498,0.00011326,0.177455622
225582_at,0.73209222,0.000352765,6.802559286,4.088452215,0.0001134,0.176269708
201859_at,0.878153238,0.00035318,12.81274,4.088084134,0.000113546,0.175041147
204718_at,1.474230849,0.000353221,3.173546,4.088020917,0.000113571,0.174830149
208697_s_at,0.573975189,0.000353274,13.07847857,4.08792911,0.000113607,0.174523734
219551_at,0.98412095,0.000353274,5.999801286,4.087918673,0.000113611,0.174488902
207606_s_at,-0.616580849,0.000353361,8.686191857,-4.087817773,0.000113651,0.174152141
218257_s_at,0.545307023,0.000353495,6.398239286,4.087671857,0.000113709,0.173665151
232350_x_at,0.475904861,0.000353495,6.196616,4.087648719,0.000113718,0.173587928
202929_s_at,0.697934937,0.000353529,8.439609429,4.087591418,0.00011374,0.173396689
230490_x_at,0.436943701,0.00035416,9.107474857,4.087049118,0.000113955,0.171586884
205379_at,1.034669655,0.000355279,7.865771143,4.086112756,0.000114327,0.168462334
208473_s_at,-2.270878259,0.000355469,3.139750714,-4.085920919,0.000114404,0.167822248
232615_at,-1.067809966,0.000355469,11.540625,-4.085876895,0.000114421,0.167675359
228622_s_at,-0.482086737,0.000355469,7.214800429,-4.085870103,0.000114424,0.167652697
1553977_a_at,0.92878603,0.000356326,2.667710143,4.085148191,0.000114712,0.165244136
1562391_at,0.878642548,0.000356374,6.249727286,4.085079488,0.000114739,0.165014934
219129_s_at,0.355820101,0.000356563,6.719388571,4.084897398,0.000114812,0.164407461
228024_at,-0.789800723,0.000356591,7.186536571,-4.08484473,0.000114833,0.16423176
221481_x_at,0.357604878,0.000357235,11.59905429,4.084296165,0.000115052,0.162401804
227208_at,-0.486487098,0.000357686,8.498365143,-4.083904043,0.000115209,0.161093821
223611_s_at,-1.511011186,0.000358256,6.813785714,-4.083416142,0.000115405,0.159466458
226175_at,0.579490841,0.000358556,7.820329857,4.083145719,0.000115514,0.158564534
