,log2FoldChange,padj,baseMean,t,P.Value,B
217763_s_at,-1.871124634,1.51E-12,11.48005557,-9.309128309,6.61E-14,21.11597268
235911_at,2.608531085,1.51E-12,8.731267714,9.30843389,6.63E-14,21.11305223
206326_at,-3.691127351,1.51E-12,6.101337429,-9.307761318,6.65E-14,21.11022364
222883_at,1.195063701,1.51E-12,7.230506571,9.307531309,6.65E-14,21.1092563
214761_at,-1.956856131,1.54E-12,5.864344857,-9.30300359,6.78E-14,21.0902137
230734_x_at,1.187674617,1.62E-12,8.573869714,9.291472283,7.12E-14,21.04171095
219286_s_at,0.88039058,1.62E-12,8.999642857,9.290450373,7.15E-14,21.0374123
200899_s_at,-0.995051043,1.63E-12,10.34209129,-9.28951224,7.18E-14,21.03346601
216604_s_at,-2.613139193,1.66E-12,6.054484286,-9.284575013,7.33E-14,21.01269666
235944_at,-3.292542885,1.67E-12,7.110571286,-9.283620451,7.36E-14,21.00868099
202850_at,-1.371670261,1.69E-12,11.49124486,-9.279680115,7.49E-14,20.99210421
202380_s_at,-0.883410042,1.69E-12,8.902253429,-9.279578033,7.49E-14,20.99167474
213441_x_at,-2.100663818,1.71E-12,6.826812571,-9.277180046,7.57E-14,20.98158616
232865_at,-1.282499058,1.71E-12,8.542465429,-9.277020128,7.57E-14,20.98091336
210153_s_at,1.354412641,1.72E-12,8.356308143,9.27574473,7.61E-14,20.9755475
218877_s_at,1.350768797,1.75E-12,8.867832857,9.271561786,7.75E-14,20.95794845
215207_x_at,1.197832069,1.78E-12,4.363875286,9.267066464,7.90E-14,20.93903418
223287_s_at,-1.511442422,1.80E-12,9.393674857,-9.264437254,7.98E-14,20.9279712
229948_at,-1.427631329,1.80E-12,2.854292143,-9.263678391,8.01E-14,20.92477806
223054_at,0.94686143,1.81E-12,9.278153714,9.261788664,8.07E-14,20.91682635
218080_x_at,1.181107906,1.86E-12,8.934551429,9.256395099,8.26E-14,20.89413003
228772_at,-1.527681127,1.86E-12,6.745550857,-9.255955193,8.28E-14,20.89227883
218564_at,1.604167704,1.86E-12,5.926214286,9.255572416,8.29E-14,20.89066803
203710_at,-2.056001985,1.86E-12,8.129523714,-9.254890128,8.31E-14,20.88779681
227031_at,-1.355319739,1.88E-12,8.258908143,-9.253153981,8.37E-14,20.88049062
211450_s_at,1.682011068,1.89E-12,8.188163429,9.25083966,8.46E-14,20.87075109
203622_s_at,1.310291144,1.90E-12,9.125469,9.249981012,8.49E-14,20.86713751
227728_at,-1.393974634,1.90E-12,8.314919143,-9.249581041,8.50E-14,20.86545424
201664_at,1.437975442,1.92E-12,10.88106,9.247367396,8.58E-14,20.85613802
201275_at,1.246343381,1.93E-12,10.86073457,9.245235489,8.66E-14,20.84716558
231807_at,-1.36955021,1.95E-12,9.818601429,-9.24241368,8.76E-14,20.83528926
213392_at,-1.481926493,1.98E-12,8.2698,-9.238904095,8.89E-14,20.82051773
223511_at,1.210923574,1.98E-12,4.602893857,9.238350184,8.92E-14,20.81818631
203221_at,2.154104626,2.01E-12,7.920775714,9.234948487,9.04E-14,20.80386823
229062_at,3.102109823,2.02E-12,4.367003143,9.233341481,9.11E-14,20.79710399
236194_at,-2.576631278,2.04E-12,8.265621286,-9.231604606,9.17E-14,20.78979297
219396_s_at,-1.93134058,2.04E-12,5.598060714,-9.231374316,9.18E-14,20.78882361
218115_at,1.758509184,2.04E-12,5.159302571,9.230828218,9.20E-14,20.78652488
210005_at,1.185917603,2.04E-12,4.415689571,9.230384079,9.22E-14,20.78465533
40255_at,1.439525728,2.05E-12,5.976788714,9.229861495,9.24E-14,20.78245556
228469_at,-2.341889823,2.06E-12,4.729318571,-9.227628432,9.33E-14,20.77305556
204127_at,1.806819108,2.08E-12,8.374511143,9.225446575,9.42E-14,20.76387087
223614_at,-2.824502708,2.09E-12,6.001256,-9.224352186,9.46E-14,20.75926388
205347_s_at,4.576177586,2.09E-12,5.754005,9.22433424,9.46E-14,20.75918834
209477_at,1.07103402,2.11E-12,6.608317857,9.221662954,9.57E-14,20.74794293
204886_at,1.415317384,2.16E-12,4.167074714,9.216177849,9.79E-14,20.72485106
241457_at,-3.12256312,2.20E-12,7.774515,-9.211918638,9.97E-14,20.70691915
203223_at,-1.913830067,2.20E-12,7.231739286,-9.211623173,9.98E-14,20.70567517
203080_s_at,-1.110843347,2.20E-12,8.711686286,-9.210741696,1.00E-13,20.7019639
228505_s_at,1.791120967,2.25E-12,4.667511,9.206081097,1.02E-13,20.68234089
224450_s_at,1.769541034,2.25E-12,8.415284429,9.205660699,1.02E-13,20.6805708
242467_at,-1.434278242,2.25E-12,9.828337571,-9.205086925,1.03E-13,20.6781549
224509_s_at,1.844463053,2.25E-12,5.090350429,9.20492463,1.03E-13,20.67747154
236248_x_at,-1.121533078,2.25E-12,7.714277571,-9.204836729,1.03E-13,20.67710143
218073_s_at,2.002057998,2.25E-12,6.749939143,9.204385775,1.03E-13,20.67520266
206538_at,1.44443762,2.29E-12,3.239236714,9.200781913,1.05E-13,20.66002798
202600_s_at,-2.005807527,2.31E-12,11.28986643,-9.19847248,1.06E-13,20.65030341
217972_at,1.273441354,2.31E-12,8.929199,9.19824616,1.06E-13,20.64935041
218883_s_at,2.138885971,2.34E-12,9.514944,9.194968285,1.07E-13,20.63554747
224369_s_at,-0.808465635,2.34E-12,8.658277714,-9.194878988,1.07E-13,20.63517144
1555723_at,-1.777343616,2.34E-12,5.294285143,-9.194685654,1.07E-13,20.63435731
223414_s_at,1.51316053,2.34E-12,7.096020429,9.193888762,1.08E-13,20.63100156
209550_at,-2.309407031,2.37E-12,6.502228,-9.190869612,1.09E-13,20.61828752
225836_s_at,1.603946981,2.38E-12,7.482319143,9.190514053,1.09E-13,20.61679019
223571_at,-1.600565711,2.43E-12,4.439126143,-9.184859749,1.12E-13,20.59297799
1556656_at,1.490586182,2.43E-12,7.873979,9.184659008,1.12E-13,20.59213257
215382_x_at,-3.807046392,2.44E-12,6.551833714,-9.184109064,1.12E-13,20.58981649
226528_at,-1.359521615,2.44E-12,7.028914286,-9.183282923,1.13E-13,20.58633718
1555906_s_at,1.337539865,2.46E-12,7.48187,9.18171129,1.13E-13,20.57971813
213885_at,-1.505937931,2.47E-12,4.556308571,-9.180692236,1.14E-13,20.57542626
207180_s_at,1.430046089,2.50E-12,7.599324286,9.177066425,1.16E-13,20.56015531
235693_at,-2.212149008,2.50E-12,9.873781,-9.177016129,1.16E-13,20.55994347
212239_at,-1.605393818,2.51E-12,8.263139286,-9.175461129,1.16E-13,20.55339405
214077_x_at,-1.77320386,2.53E-12,8.126219857,-9.174277023,1.17E-13,20.5484067
225330_at,-3.403280042,2.57E-12,9.922929571,-9.169778563,1.19E-13,20.52945903
213185_at,-1.183678049,2.58E-12,6.511482857,-9.169177926,1.19E-13,20.52692905
226298_at,-1.522353448,2.61E-12,8.260309286,-9.166232024,1.21E-13,20.51452026
200842_s_at,1.231814617,2.63E-12,10.85042314,9.16390501,1.22E-13,20.50471808
214800_x_at,-0.86322767,2.64E-12,12.17488143,-9.162838953,1.23E-13,20.50022741
205129_at,1.988423457,2.64E-12,5.553208714,9.162792609,1.23E-13,20.50003219
202352_s_at,1.32674143,2.64E-12,9.709754857,9.162469506,1.23E-13,20.49867113
217889_s_at,-3.556337628,2.65E-12,6.694859143,-9.161435971,1.23E-13,20.49431739
223880_x_at,1.062777233,2.65E-12,11.11137243,9.160969451,1.24E-13,20.49235217
238161_at,-1.310553162,2.66E-12,6.618884429,-9.160691361,1.24E-13,20.49118071
225418_at,-1.369785786,2.68E-12,8.42744,-9.158357504,1.25E-13,20.48134915
206023_at,2.774368528,2.70E-12,4.966363143,9.156322148,1.26E-13,20.47277485
239163_at,-1.23804831,2.71E-12,6.590489143,-9.155862126,1.26E-13,20.4708369
1556602_at,-2.069444937,2.73E-12,5.216107571,-9.153173131,1.28E-13,20.45950871
239735_at,-1.424885366,2.74E-12,8.998814286,-9.152304978,1.28E-13,20.45585129
218193_s_at,1.621841943,2.79E-12,8.668251857,9.147966305,1.31E-13,20.43757252
225229_at,-0.853320008,2.85E-12,9.967264143,-9.143255143,1.33E-13,20.41772354
207974_s_at,-0.858396215,2.85E-12,11.51988714,-9.142898162,1.34E-13,20.41621948
210469_at,-2.237130395,2.85E-12,5.650986286,-9.142453517,1.34E-13,20.41434605
227074_at,-1.504370017,2.86E-12,9.811410714,-9.141717115,1.34E-13,20.41124335
217835_x_at,1.044742304,2.88E-12,11.52783429,9.139558688,1.35E-13,20.40214904
200687_s_at,1.490198495,2.93E-12,9.087629857,9.135797485,1.38E-13,20.38630115
233263_at,-0.655445021,2.94E-12,5.953496143,-9.134792452,1.38E-13,20.38206632
203227_s_at,-1.465744828,3.07E-12,8.643997143,-9.124411989,1.44E-13,20.3383245
226343_at,-0.963295198,3.07E-12,8.623157,-9.124132553,1.45E-13,20.33714694
239973_at,2.776407376,3.08E-12,4.313980429,9.123400352,1.45E-13,20.33406137
213696_s_at,0.992077494,3.11E-12,8.220010857,9.120565017,1.47E-13,20.32211276
218007_s_at,-0.868840791,3.11E-12,11.81133857,-9.120442378,1.47E-13,20.32159593
219213_at,-2.712787914,3.15E-12,5.207857571,-9.116957448,1.49E-13,20.30690933
203256_at,3.105029664,3.17E-12,7.707854714,9.115293083,1.50E-13,20.299895
1566442_at,-2.863521379,3.17E-12,4.504346,-9.115272834,1.50E-13,20.29980966
215836_s_at,-1.371231615,3.22E-12,6.894835571,-9.111303395,1.53E-13,20.2830803
205251_at,-1.775467653,3.25E-12,7.693647714,-9.109058336,1.54E-13,20.27361813
205160_at,-2.299943944,3.30E-12,7.538019286,-9.105242278,1.57E-13,20.25753424
210758_at,1.648304794,3.31E-12,6.744064286,9.104779552,1.57E-13,20.2555839
229510_at,-2.981452725,3.39E-12,4.487369857,-9.098964506,1.61E-13,20.23107344
212311_at,2.679479756,3.39E-12,6.523439571,9.098774836,1.61E-13,20.23027396
221824_s_at,-1.741383045,3.41E-12,8.528559143,-9.096926493,1.62E-13,20.22248287
242665_at,1.494416156,3.44E-12,5.202629857,9.094959724,1.64E-13,20.21419246
223492_s_at,-1.70210868,3.44E-12,7.467950286,-9.094734366,1.64E-13,20.2132425
200815_s_at,1.529355761,3.49E-12,7.98849,9.09116898,1.66E-13,20.19821309
200738_s_at,1.005099243,3.51E-12,12.59762857,9.089580212,1.67E-13,20.19151567
222456_s_at,-1.564599706,3.51E-12,3.236696429,-9.089134887,1.68E-13,20.1896384
220988_s_at,-2.441770681,3.51E-12,8.264924857,-9.088898028,1.68E-13,20.18863992
205246_at,1.536239933,3.52E-12,6.751054571,9.088636863,1.68E-13,20.18753897
205226_at,-2.93930524,3.52E-12,8.014259,-9.087856533,1.69E-13,20.18424944
212416_at,-0.923008696,3.52E-12,9.969672,-9.087840259,1.69E-13,20.18418084
230320_at,-1.027985795,3.55E-12,5.115773,-9.085643577,1.70E-13,20.17492046
234929_s_at,-0.987584895,3.56E-12,4.991539143,-9.085004569,1.71E-13,20.17222661
212662_at,1.512704878,3.57E-12,5.828322857,9.084309696,1.71E-13,20.16929723
220559_at,4.306798654,3.61E-12,6.478191429,9.081364887,1.73E-13,20.15688258
223038_s_at,2.18392222,3.62E-12,8.519966857,9.080574974,1.74E-13,20.15355243
41037_at,2.508859167,3.63E-12,6.293425,9.079626735,1.75E-13,20.14955476
213647_at,1.960062061,3.67E-12,5.861560143,9.077223735,1.76E-13,20.13942383
214202_at,-1.134784542,3.67E-12,3.869726,-9.07647842,1.77E-13,20.13628158
218512_at,1.333959907,3.67E-12,8.740003857,9.076445673,1.77E-13,20.13614351
218443_s_at,0.780827544,3.68E-12,7.713863571,9.07588073,1.77E-13,20.13376169
201132_at,-0.955511749,3.68E-12,10.24142243,-9.075693509,1.78E-13,20.13297236
226974_at,-2.877278764,3.70E-12,6.144085,-9.074368249,1.79E-13,20.12738495
223444_at,-0.81924762,3.72E-12,8.371876,-9.073000865,1.80E-13,20.12161987
220969_s_at,1.348128663,3.75E-12,7.375500286,9.071106115,1.81E-13,20.11363122
244181_at,-1.745903288,3.76E-12,7.018661571,-9.069898325,1.82E-13,20.10853886
203856_at,1.379776678,3.77E-12,8.485270429,9.069420485,1.82E-13,20.10652414
233588_x_at,1.222249664,3.77E-12,6.256763571,9.069202712,1.82E-13,20.10560595
230152_at,-1.628113431,3.77E-12,4.352082429,-9.068604153,1.83E-13,20.10308223
208941_s_at,1.53395312,3.79E-12,8.652273429,9.067548773,1.84E-13,20.09863237
204112_s_at,-1.490854693,3.80E-12,10.23976614,-9.066592344,1.85E-13,20.09459968
217664_at,-1.292162725,3.87E-12,3.410291143,-9.062426977,1.88E-13,20.07703642
202243_s_at,1.118390496,3.88E-12,11.93398143,9.061513987,1.89E-13,20.07318671
201976_s_at,1.994530278,3.88E-12,8.867241429,9.061066087,1.89E-13,20.07129809
222661_at,-0.898060151,3.90E-12,8.065448857,-9.059658208,1.90E-13,20.06536154
204276_at,-1.162183507,3.94E-12,6.405957,-9.057547255,1.92E-13,20.05646023
218252_at,1.937516325,3.95E-12,8.190642714,9.05666844,1.92E-13,20.05275446
209071_s_at,-2.320625585,3.98E-12,10.09481886,-9.054560926,1.94E-13,20.0438674
211063_s_at,1.272756838,3.99E-12,10.664696,9.054025139,1.95E-13,20.04160804
201185_at,-2.900078007,4.11E-12,10.11159357,-9.046850599,2.01E-13,20.01135271
202769_at,-1.456809411,4.24E-12,11.82931557,-9.039013578,2.07E-13,19.97830142
225788_at,1.092002069,4.26E-12,8.299019143,9.037850202,2.08E-13,19.97339489
200693_at,0.790560892,4.26E-12,12.60320143,9.037739475,2.09E-13,19.97292789
235273_at,-1.559708503,4.26E-12,3.897603,-9.037311218,2.09E-13,19.97112171
218418_s_at,-2.298245669,4.26E-12,7.671485714,-9.03721937,2.09E-13,19.97073433
205250_s_at,-1.126706518,4.26E-12,7.319545,-9.03704733,2.09E-13,19.97000874
239466_at,-1.430943221,4.29E-12,3.793981286,-9.035247635,2.11E-13,19.96241838
216320_x_at,-2.108987746,4.29E-12,4.896504714,-9.03508217,2.11E-13,19.96172051
219833_s_at,-2.42496296,4.32E-12,7.338438,-9.033420463,2.12E-13,19.954712
217979_at,-1.390282506,4.34E-12,12.02309857,-9.032077484,2.14E-13,19.9490477
236649_at,-1.686124315,4.40E-12,8.731450143,-9.028895947,2.17E-13,19.93562862
226968_at,1.187706409,4.42E-12,9.489349714,9.027738934,2.18E-13,19.93074849
204199_at,-2.407087813,4.44E-12,5.414270143,-9.026283568,2.19E-13,19.92460986
45633_at,1.574352902,4.46E-12,4.325458571,9.025145366,2.20E-13,19.91980895
238044_at,-1.617090849,4.55E-12,5.856458857,-9.020195533,2.25E-13,19.89893012
213916_at,-1.517812103,4.58E-12,6.202451286,-9.018450362,2.26E-13,19.89156862
227576_at,-1.15967238,4.61E-12,10.24433229,-9.017024456,2.28E-13,19.88555377
219648_at,-1.547958242,4.64E-12,9.270543571,-9.015179342,2.29E-13,19.87777047
217094_s_at,1.3750682,4.65E-12,6.877091571,9.014677804,2.30E-13,19.87565479
224467_s_at,1.754732161,4.67E-12,7.073605143,9.013418359,2.31E-13,19.87034194
239035_at,-1.032890631,4.68E-12,5.388120857,-9.012554328,2.32E-13,19.86669708
225095_at,-1.934477006,4.70E-12,6.796622286,-9.011714294,2.33E-13,19.86315341
224887_at,-0.92254349,4.70E-12,7.956545857,-9.011663081,2.33E-13,19.86293737
241864_x_at,-2.525662548,4.72E-12,6.619059571,-9.010423674,2.34E-13,19.85770891
212426_s_at,0.800780488,4.87E-12,12.76272857,9.002707262,2.42E-13,19.82515586
203474_at,-2.426254844,5.08E-12,8.120964429,-8.992568377,2.53E-13,19.78237992
232568_at,-2.635537317,5.15E-12,6.184588143,-8.989076322,2.56E-13,19.76764609
212033_at,-0.659917679,5.23E-12,10.07863886,-8.985285545,2.60E-13,19.7516514
218051_s_at,1.992840395,5.23E-12,6.568579571,8.98524914,2.61E-13,19.75149779
237350_at,-2.043046955,5.24E-12,4.207226143,-8.984740322,2.61E-13,19.74935086
243709_at,-1.273485719,5.24E-12,5.746337429,-8.984336237,2.62E-13,19.74764584
225083_at,0.894516653,5.27E-12,11.50942429,8.983017994,2.63E-13,19.74208352
209897_s_at,-2.580891665,5.28E-12,7.186315571,-8.982276858,2.64E-13,19.73895627
225141_at,0.902418991,5.28E-12,7.915703143,8.982154371,2.64E-13,19.73843944
202273_at,-1.873093272,5.31E-12,7.797542857,-8.980568101,2.66E-13,19.73174605
221683_s_at,-1.230572321,5.34E-12,4.398654143,-8.97940061,2.67E-13,19.72681968
206101_at,-2.775318772,5.38E-12,8.390060286,-8.977525363,2.69E-13,19.71890674
226492_at,-2.48136566,5.39E-12,3.982883857,-8.976849687,2.70E-13,19.71605558
224358_s_at,-3.045879622,5.39E-12,6.023951,-8.976736676,2.70E-13,19.7155787
203931_s_at,1.246156182,5.44E-12,8.168042857,8.974334443,2.73E-13,19.70544181
227452_at,3.28723709,5.44E-12,4.91177,8.974112392,2.73E-13,19.70450479
240865_at,-2.651335719,5.48E-12,5.970091,-8.972340253,2.75E-13,19.69702662
241993_x_at,-0.832213541,5.56E-12,8.477338571,-8.968450604,2.80E-13,19.68061247
219481_at,1.119080673,5.62E-12,8.740582571,8.96604313,2.83E-13,19.67045277
218074_at,0.920589596,5.74E-12,9.280913857,8.960942795,2.89E-13,19.64892838
224396_s_at,-4.773143961,5.77E-12,8.298662429,-8.95937163,2.91E-13,19.64229758
226369_at,-0.822144155,5.80E-12,6.141504286,-8.958247659,2.92E-13,19.63755402
221521_s_at,2.606695206,5.85E-12,7.39997,8.956061598,2.95E-13,19.62832795
209205_s_at,1.971596602,5.85E-12,9.197070571,8.955598902,2.95E-13,19.62637517
221768_at,-1.133501194,5.86E-12,9.629714571,-8.955224243,2.96E-13,19.62479393
223442_at,-1.021156308,5.89E-12,6.562740714,-8.953946633,2.98E-13,19.61940178
203023_at,1.533583028,6.04E-12,7.770141143,8.94768521,3.06E-13,19.59297469
212973_at,1.152821346,6.05E-12,8.026196,8.947141401,3.06E-13,19.59067941
213699_s_at,0.667140959,6.07E-12,13.93620571,8.946303125,3.07E-13,19.58714125
228360_at,-2.477498032,6.08E-12,4.288022286,-8.945607277,3.08E-13,19.58420423
221987_s_at,1.376947082,6.13E-12,7.354001714,8.943627217,3.11E-13,19.57584673
203975_s_at,1.485050101,6.17E-12,6.483304714,8.942083954,3.13E-13,19.56933279
1557985_s_at,0.947874802,6.18E-12,5.732626571,8.941465953,3.14E-13,19.56672426
200607_s_at,1.71805074,6.18E-12,10.179281,8.941238497,3.14E-13,19.56576418
200843_s_at,1.115218898,6.22E-12,10.08207757,8.93951294,3.16E-13,19.55848066
200052_s_at,1.482520782,6.33E-12,11.58197843,8.935203966,3.22E-13,19.54029219
201821_s_at,1.149893045,6.35E-12,10.26128671,8.934540062,3.23E-13,19.53748975
238854_at,-1.348113061,6.36E-12,4.915874714,-8.933857969,3.24E-13,19.53461052
225481_at,-2.312936678,6.39E-12,9.526464429,-8.932592027,3.26E-13,19.52926672
228003_at,-2.129259201,6.41E-12,6.166975571,-8.931618221,3.27E-13,19.52515605
216958_s_at,-1.65417582,6.44E-12,6.226102143,-8.930484154,3.29E-13,19.52036884
218060_s_at,0.810945147,6.46E-12,6.423514571,8.929739657,3.30E-13,19.51722609
222767_s_at,1.140758284,6.46E-12,6.412294286,8.929371831,3.30E-13,19.51567338
242260_at,2.569941531,6.52E-12,3.670234571,8.927189188,3.33E-13,19.50645965
1557538_at,-1.421207183,6.53E-12,7.393844857,-8.926643548,3.34E-13,19.50415627
202933_s_at,1.258969268,6.55E-12,11.17785629,8.925786129,3.35E-13,19.50053674
227300_at,-2.479695282,6.60E-12,5.917768429,-8.923719486,3.38E-13,19.49181245
201629_s_at,1.574676779,6.60E-12,8.741655857,8.923670088,3.38E-13,19.49160392
212541_at,1.348658738,6.69E-12,8.397978,8.920371645,3.43E-13,19.47767932
52651_at,-2.513866375,6.84E-12,6.504776,-8.914876102,3.51E-13,19.45447875
224699_s_at,1.310297662,6.88E-12,9.736679714,8.91347033,3.53E-13,19.44854384
243291_at,-1.97460963,6.88E-12,3.839985,-8.913317051,3.54E-13,19.44789672
221779_at,2.105874903,7.03E-12,7.011933429,8.907866091,3.62E-13,19.42488315
232997_at,-2.717237435,7.10E-12,6.422097286,-8.905457894,3.66E-13,19.41471561
213088_s_at,1.255509891,7.15E-12,9.423126286,8.903704107,3.68E-13,19.40731092
211938_at,-1.042767687,7.18E-12,10.501374,-8.902666114,3.70E-13,19.40292834
219439_at,2.044805534,7.23E-12,6.677414571,8.900725608,3.73E-13,19.39473512
234701_at,0.936922027,7.24E-12,4.904815857,8.90019337,3.74E-13,19.39248788
202147_s_at,1.532639201,7.24E-12,8.242055571,8.900112282,3.74E-13,19.39214551
203806_s_at,2.069872742,7.27E-12,3.578703,8.899053657,3.76E-13,19.3876757
1555363_s_at,-1.504656787,7.30E-12,6.267391714,-8.897869789,3.78E-13,19.38267705
235369_at,-1.66327053,7.30E-12,4.690898,-8.897786146,3.78E-13,19.38232388
204208_at,0.849101371,7.37E-12,7.083595286,8.895227857,3.82E-13,19.37152184
212479_s_at,1.069607897,7.37E-12,7.757590143,8.895218757,3.82E-13,19.37148342
212386_at,-1.665845837,7.40E-12,11.52473857,-8.893972321,3.84E-13,19.36622043
208741_at,-1.243333616,7.47E-12,6.996552429,-8.891670465,3.88E-13,19.35650089
223261_at,-0.872130109,7.47E-12,9.022167143,-8.8914164,3.88E-13,19.35542809
221227_x_at,1.44852381,7.69E-12,6.618075571,8.884417129,4.00E-13,19.32587275
218806_s_at,-3.522049066,7.83E-12,8.249004857,-8.879985644,4.07E-13,19.30715946
204294_at,-1.350374895,7.84E-12,4.993987857,-8.87971574,4.08E-13,19.30601969
237168_at,-2.3570955,7.99E-12,3.911989286,-8.874943326,4.16E-13,19.28586602
212911_at,-1.055993877,8.05E-12,7.399691714,-8.873196135,4.19E-13,19.27848755
235386_at,-1.196698999,8.08E-12,5.903578714,-8.872017722,4.21E-13,19.27351101
227417_at,-2.361937729,8.31E-12,3.489456571,-8.865363943,4.33E-13,19.24541073
222500_at,1.233017435,8.35E-12,8.687523857,8.864043835,4.36E-13,19.23983549
218374_s_at,2.007244449,8.41E-12,6.801810714,8.862202247,4.39E-13,19.23205778
205357_s_at,-4.23449619,8.43E-12,4.410799571,-8.86150839,4.41E-13,19.22912734
1554415_at,1.325408562,8.44E-12,6.659563143,8.861152754,4.41E-13,19.22762534
213993_at,-2.964146821,8.44E-12,4.973091,-8.860821095,4.42E-13,19.2262246
200785_s_at,-1.599872851,8.51E-12,6.732108857,-8.858960116,4.45E-13,19.21836483
225464_at,-2.283366989,8.61E-12,9.854150714,-8.855882947,4.51E-13,19.2053683
215947_s_at,0.923419487,8.67E-12,9.549357571,8.854211419,4.54E-13,19.19830843
242283_at,2.068923886,8.68E-12,5.84099,8.853806355,4.55E-13,19.19659759
236974_at,-1.014306266,8.79E-12,5.945373571,-8.8506293,4.61E-13,19.18317871
238544_at,-2.992538562,8.84E-12,6.638755,-8.849150101,4.64E-13,19.17693095
232816_s_at,1.656833633,8.86E-12,5.812628714,8.84851438,4.66E-13,19.1742458
212508_at,-1.087097813,8.95E-12,9.217967143,-8.845857028,4.71E-13,19.16302161
237128_at,-2.564641001,8.97E-12,3.245850714,-8.845371629,4.72E-13,19.16097135
1562497_at,-1.936637014,9.05E-12,6.223283,-8.842947305,4.77E-13,19.15073122
217122_s_at,-1.458304718,9.12E-12,11.10100871,-8.840935853,4.81E-13,19.14223489
221899_at,-1.093915046,9.21E-12,10.86209557,-8.83856948,4.86E-13,19.13223925
227504_s_at,-1.049850563,9.30E-12,6.013480286,-8.836075874,4.91E-13,19.121706
209624_s_at,-2.394030496,9.34E-12,5.990748,-8.835018508,4.93E-13,19.11723953
238933_at,-1.993967965,9.34E-12,3.619915857,-8.834887037,4.93E-13,19.11668417
202371_at,-1.551959807,9.36E-12,10.87565014,-8.834247222,4.95E-13,19.11398148
235039_x_at,1.334172557,9.39E-12,4.263211857,8.833373334,4.96E-13,19.11029
219087_at,-4.392395669,9.51E-12,11.05694214,-8.8301702,5.03E-13,19.09675914
242549_at,1.007559706,9.52E-12,5.607257286,8.829691942,5.04E-13,19.09473884
228109_at,-1.546054651,9.52E-12,5.413795429,-8.829667809,5.04E-13,19.09463689
228623_at,-1.038728352,9.63E-12,9.343533,-8.826822992,5.11E-13,19.08261938
204914_s_at,4.166076787,9.63E-12,4.91339,8.826569074,5.11E-13,19.08154673
208865_at,-0.850606501,9.77E-12,10.985829,-8.822955476,5.19E-13,19.06628127
1558511_s_at,1.349133246,9.80E-12,9.434103857,8.822147189,5.21E-13,19.06286666
232078_at,-2.514325311,9.81E-12,4.456420643,-8.821839595,5.21E-13,19.06156722
238778_at,-2.463398007,9.83E-12,5.997183286,-8.821085489,5.23E-13,19.05838147
225775_at,1.644377738,9.98E-12,7.409922429,8.817360326,5.31E-13,19.04264416
225344_at,1.923833659,1.04E-11,10.78581686,8.808049002,5.53E-13,19.00330594
222992_s_at,1.172122876,1.04E-11,12.24788429,8.806863168,5.56E-13,18.9982959
212387_at,-1.82500587,1.05E-11,9.548479714,-8.805822288,5.58E-13,18.99389825
204766_s_at,1.717228259,1.06E-11,6.019138571,8.80199744,5.67E-13,18.97773825
232079_s_at,-1.984483961,1.07E-11,6.095620429,-8.801072773,5.70E-13,18.97383148
204012_s_at,-1.229751169,1.08E-11,7.778232,-8.798328615,5.76E-13,18.9622371
217762_s_at,-1.854644617,1.08E-11,11.43595643,-8.797348059,5.79E-13,18.9580941
210794_s_at,-1.842394449,1.09E-11,3.873274286,-8.796478602,5.81E-13,18.95442048
226582_at,-1.796595812,1.09E-11,6.832088857,-8.794670057,5.85E-13,18.94677898
203628_at,-3.438369226,1.10E-11,9.984298714,-8.793581921,5.88E-13,18.94218133
212289_at,-1.031607754,1.10E-11,8.483217429,-8.792516645,5.91E-13,18.93768024
215624_at,-1.307273734,1.11E-11,2.564763857,-8.791691699,5.93E-13,18.93419459
218947_s_at,1.182192086,1.12E-11,7.364243,8.787902047,6.02E-13,18.91818193
241789_at,-1.953578259,1.12E-11,5.438107857,-8.78788674,6.02E-13,18.91811724
202125_s_at,-1.372117965,1.12E-11,8.632642286,-8.787347028,6.04E-13,18.91583674
212209_at,-1.143290614,1.14E-11,8.720596286,-8.784722698,6.11E-13,18.90474773
219922_s_at,-1.379082279,1.15E-11,9.009480429,-8.782017096,6.18E-13,18.89331514
213605_s_at,-1.482741161,1.15E-11,11.44500629,-8.780945801,6.20E-13,18.8887883
230130_at,-2.771089268,1.17E-11,7.558993429,-8.778003176,6.28E-13,18.87635388
201000_at,1.172220547,1.17E-11,9.785345286,8.776561359,6.32E-13,18.87026122
204020_at,-0.970132775,1.18E-11,10.49659386,-8.775673138,6.34E-13,18.86650786
204881_s_at,-1.680215896,1.19E-11,10.36928286,-8.772518954,6.43E-13,18.85317905
1560512_at,-1.324954357,1.19E-11,8.177861857,-8.772263236,6.44E-13,18.85209844
222275_at,-2.661178394,1.27E-11,8.778780143,-8.757824026,6.84E-13,18.79107869
223145_s_at,1.198603675,1.27E-11,7.659447571,8.757471418,6.85E-13,18.78958851
219572_at,-2.675964037,1.30E-11,6.698443429,-8.752259527,7.01E-13,18.76756193
224967_at,-1.650895231,1.30E-11,9.930963286,-8.751511413,7.03E-13,18.76440019
218092_s_at,1.079171581,1.30E-11,8.490104143,8.750793984,7.05E-13,18.76136811
222999_s_at,-1.103121749,1.30E-11,10.66501514,-8.750310131,7.07E-13,18.75932319
201534_s_at,-1.241116989,1.31E-11,9.372331429,-8.748726729,7.11E-13,18.7526312
